,Unnamed: 0,capped_normalized_return,eval_episode_return,eval_frame_rate,eval_num_episodes,frame,human_gap,iteration,normalized_return,train_episode_return,train_exploration_epsilon,train_frame_rate,train_num_episodes,environment_name,seed,agent_id,agent_name
121,121,-1,320.0,-1,-1,4200000,-1,-1,1.06281957633309,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
122,122,-1,360.0,-1,-1,4400000,-1,-1,1.2089116143170198,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
123,123,-1,350.0,-1,-1,4600000,-1,-1,1.1723886048210372,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
124,124,-1,430.0,-1,-1,4800000,-1,-1,1.464572680788897,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
125,125,-1,410.0,-1,-1,5000000,-1,-1,1.391526661796932,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
126,126,-1,370.0,-1,-1,5200000,-1,-1,1.245434623813002,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
127,127,-1,350.0,-1,-1,5400000,-1,-1,1.1723886048210372,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
128,128,-1,340.0,-1,-1,5600000,-1,-1,1.1358655953250547,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
129,129,-1,460.0,-1,-1,5800000,-1,-1,1.5741417092768444,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
130,130,-1,400.0,-1,-1,6000000,-1,-1,1.3550036523009494,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
131,131,-1,290.0,-1,-1,6200000,-1,-1,0.9532505478451424,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
132,132,-1,370.0,-1,-1,6400000,-1,-1,1.245434623813002,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
133,133,-1,370.0,-1,-1,6600000,-1,-1,1.245434623813002,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
134,134,-1,470.0,-1,-1,6800000,-1,-1,1.610664718772827,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
135,135,-1,340.0,-1,-1,7000000,-1,-1,1.1358655953250547,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
136,136,-1,470.0,-1,-1,7200000,-1,-1,1.610664718772827,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
137,137,-1,270.0,-1,-1,7400000,-1,-1,0.8802045288531775,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
138,138,-1,360.0,-1,-1,7600000,-1,-1,1.2089116143170198,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
139,139,-1,420.0,-1,-1,7800000,-1,-1,1.4280496712929145,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
140,140,-1,400.0,-1,-1,8000000,-1,-1,1.3550036523009494,-1,-1,-1,-1,jamesbond,2022,hyperdqn,HyperDQN
